date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2021-07-12,SELL,PSUBNKBEES.NS,22134,27.05,598724.7000000001,299.36235000000005,598437.48658,26.11,3.6
2021-07-12,SELL,ITBEES.NS,19598,28.94,567166.12,283.58306,1165320.02352,28.77,0.591
2021-07-12,BUY,MON100.NS,5330,109.26,582355.8,291.1779,582673.04562,,
2021-07-12,BUY,MID150BEES.NS,5570,104.55,582343.5,291.17175000000003,38.373870000010356,,
2021-07-26,SELL,MID150BEES.NS,5570,105.62,588303.4,294.1517,588047.62217,104.55,1.023
2021-07-26,BUY,ITBEES.NS,19276,30.49,587725.24,293.86262,28.51954999996815,,
2021-08-16,SELL,MON100.NS,5330,111.44,593975.2,296.9876,593706.7319499999,109.26,1.995
2021-08-16,BUY,NV20BEES.NS,6354,93.39,593400.06,296.70003,9.971919999923557,,
2021-09-06,SELL,NV20BEES.NS,6354,97.59,620086.86,310.04343,619786.78849,93.39,4.497
2021-09-06,BUY,CONSUMBEES.NS,8101,76.46,619402.46,309.70123,74.62725999997929,,
2021-09-27,SELL,CONSUMBEES.NS,8101,79.24,641923.24,320.96162,641676.90564,76.46,3.636
2021-09-27,BUY,NV20BEES.NS,6403,100.16,641324.48,320.66224,31.76340000005439,,
2021-10-04,SELL,NV20BEES.NS,6403,99.93,639851.79,319.925895,639563.6275050001,100.16,-0.23
2021-10-04,SELL,ITBEES.NS,19276,35.78,689695.28,344.84764,1328914.0598650002,30.49,17.35
2021-10-04,BUY,CPSEETF.NS,21416,31.01,664110.16,332.05508000000003,664471.8447850002,,
2021-10-04,BUY,INFRABEES.NS,1260,526.99,664007.4,332.00370000000004,132.4410850001732,,
2021-10-11,SELL,INFRABEES.NS,1260,534.27,673180.2,336.5901,672976.0509850001,526.99,1.381
2021-10-11,BUY,MOM100.NS,20290,33.15,672613.5,336.30675,26.244235000107437,,
2021-10-25,SELL,MOM100.NS,20290,32.15,652323.5,326.16175,652023.5824850001,33.15,-3.017
2021-10-25,BUY,PSUBNKBEES.NS,20921,31.15,651689.15,325.844575,8.587910000118427,,
2021-11-01,SELL,CPSEETF.NS,21416,29.95,641409.2,320.70459999999997,641097.08331,31.01,-3.418
2021-11-01,BUY,BANKBEES.NS,1598,400.98,640766.04,320.38302000000004,10.660290000028908,,
2021-11-08,SELL,BANKBEES.NS,1598,397.48,635173.04,317.58652,634866.11377,400.98,-0.873
2021-11-08,BUY,INFRABEES.NS,1162,545.76,634173.12,317.08656,375.90721000009216,,
2021-11-22,SELL,INFRABEES.NS,1162,526.7,612025.4,306.0127,612095.2945100002,545.76,-3.492
2021-11-22,BUY,MON100.NS,5044,121.29,611786.76,305.89338000000004,2.641130000120029,,
2021-11-29,SELL,PSUBNKBEES.NS,20921,28.14,588716.9400000001,294.35847,588425.2226600002,31.15,-9.663
2021-11-29,BUY,GOLDBEES.NS,14130,41.62,588090.6,294.0453,40.57736000022851,,
2021-12-06,SELL,GOLDBEES.NS,14130,41.3,583569.0,291.7845,583317.7928600003,41.62,-0.769
2021-12-06,BUY,ITBEES.NS,16317,35.73,583006.4099999999,291.503205,19.879655000404455,,
2021-12-13,SELL,ITBEES.NS,16317,36.83,600955.11,300.477555,600674.5121000004,35.73,3.079
2021-12-13,BUY,PSUBNKBEES.NS,19926,30.13,600370.38,300.18519000000003,3.9469100004062057,,
2021-12-20,SELL,PSUBNKBEES.NS,19926,26.93,536607.18,268.30359000000004,536342.8233200004,30.13,-10.621
2021-12-20,BUY,ITBEES.NS,14587,36.75,536072.25,268.036125,2.537195000448264,,
2022-01-03,SELL,MON100.NS,5044,120.27,606641.88,303.32094,606341.0962550004,121.29,-0.841
2022-01-03,BUY,NV20BEES.NS,5954,101.78,605998.12,302.99906,39.9771950005088,,
2022-01-10,SELL,NV20BEES.NS,5954,102.35,609391.9,304.69595000000004,609127.1812450006,101.78,0.56
2022-01-10,BUY,CPSEETF.NS,19438,31.32,608798.16,304.39908,24.622165000531822,,
2022-01-24,SELL,ITBEES.NS,14587,35.73,521193.50999999995,260.596755,520957.5354100005,36.75,-2.776
2022-01-24,BUY,NV20BEES.NS,5324,97.79,520633.96,260.31698,63.25843000045279,,
2022-01-31,SELL,NV20BEES.NS,5324,98.34,523562.16000000003,261.78108000000003,523363.6373500005,97.79,0.562
2022-01-31,BUY,PSUBNKBEES.NS,16080,32.53,523082.4,261.5412,19.696150000498164,,
2022-02-21,SELL,CPSEETF.NS,19438,31.68,615795.84,307.89792,615507.6382300004,31.32,1.149
2022-02-21,BUY,GOLDBEES.NS,14273,43.1,615166.3,307.58315000000005,33.755080000380985,,
2022-02-28,SELL,PSUBNKBEES.NS,16080,29.1,467928.0,233.964,467727.7910800004,32.53,-10.544
2022-02-28,BUY,CPSEETF.NS,14446,32.36,467472.56,233.73628,21.494800000393298,,
2022-03-28,SELL,CPSEETF.NS,14446,34.01,491308.45999999996,245.65422999999998,491084.30057000037,32.36,5.099
2022-03-28,BUY,MON100.NS,4344,112.99,490828.56,245.41428,10.32629000034649,,
2022-04-04,SELL,GOLDBEES.NS,14273,44.22,631152.0599999999,315.57603,630846.8102600003,43.1,2.599
2022-04-04,BUY,CPSEETF.NS,18061,34.91,630509.5099999999,315.25475499999993,22.04550500039477,,
2022-04-11,SELL,MON100.NS,4344,112.16,487223.04,243.61151999999998,487001.4739850004,112.99,-0.735
2022-04-11,BUY,JUNIORBEES.NS,1050,463.53,486706.5,243.35325,51.620735000411514,,
2022-04-25,SELL,JUNIORBEES.NS,1050,443.78,465969.0,232.9845,465787.6362350004,463.53,-4.261
2022-04-25,BUY,INFRABEES.NS,875,531.59,465141.25,232.570625,413.815610000398,,
2022-05-02,SELL,INFRABEES.NS,875,533.48,466795.0,233.3975,466975.4181100004,531.59,0.356
2022-05-02,BUY,CONSUMBEES.NS,6085,76.7,466719.5,233.35975,22.558360000373796,,
2022-05-09,SELL,CONSUMBEES.NS,6085,72.22,439458.7,219.72935,439261.5290100004,76.7,-5.841
2022-05-09,BUY,DIVOPPBEES.NS,10000,43.9,439000.0,219.5,42.02901000040583,,
2022-05-16,SELL,CPSEETF.NS,18061,33.99,613893.39,306.94669500000003,613628.4723150004,34.91,-2.635
2022-05-16,SELL,DIVOPPBEES.NS,10000,42.39,423900.0,211.95000000000002,1037316.5223150004,43.9,-3.44
2022-05-16,BUY,LIQUIDBEES.NS,518,1000.0,518000.0,259.0,519057.5223150004,,
2022-05-16,BUY,GILT5YBEES.NS,10506,49.34,518366.04000000004,259.18302,432.2992950003827,,
2022-05-23,SELL,GILT5YBEES.NS,10506,48.74,512062.44,256.03122,512238.7080750004,49.34,-1.216
2022-05-23,BUY,CPSEETF.NS,14970,34.2,511974.00000000006,255.98700000000002,8.721075000299606,,
2022-05-30,SELL,CPSEETF.NS,14970,33.95,508231.50000000006,254.11575000000005,507986.10532500036,34.2,-0.731
2022-05-30,BUY,BANKBEES.NS,1404,361.43,507447.72000000003,253.72386000000003,284.661465000303,,
2022-06-06,SELL,BANKBEES.NS,1404,356.47,500483.88000000006,250.24194000000003,500518.2995250004,361.43,-1.372
2022-06-06,BUY,CPSEETF.NS,14264,35.07,500238.48,250.11924,29.700285000377335,,
2022-06-20,SELL,CPSEETF.NS,14264,31.44,448460.16000000003,224.23008000000002,448265.6302050004,35.07,-10.351
2022-06-20,BUY,GOLDBEES.NS,10224,43.82,448015.68,224.00784,25.94236500043189,,
2022-06-27,SELL,GOLDBEES.NS,10224,43.87,448526.87999999995,224.26343999999997,448328.55892500037,43.82,0.114
2022-06-27,BUY,CONSUMBEES.NS,6101,73.44,448057.44,224.02872,47.09020500036422,,
2022-07-04,SELL,LIQUIDBEES.NS,518,999.99,517994.82,258.99741,517782.91279500036,1000.0,-0.001
2022-07-04,BUY,GOLDBEES.NS,11582,44.68,517483.76,258.74188000000004,40.410915000364184,,
2022-07-11,SELL,GOLDBEES.NS,11582,43.56,504511.92000000004,252.25596000000002,504300.0749550004,44.68,-2.507
2022-07-11,BUY,PSUBNKBEES.NS,17097,29.48,504019.56,252.00978,28.50517500040587,,
2022-08-16,SELL,CONSUMBEES.NS,6101,84.87,517791.87000000005,258.895935,517561.4792400005,73.44,15.564
2022-08-16,BUY,BANKBEES.NS,1302,397.06,516972.12,258.48606,330.8731800004607,,
2022-08-22,SELL,BANKBEES.NS,1302,387.38,504368.76,252.18438,504447.4488000005,397.06,-2.438
2022-08-22,SELL,PSUBNKBEES.NS,17097,30.93,528810.21,264.405105,1032993.2536950004,29.48,4.919
2022-08-22,BUY,JUNIORBEES.NS,1154,447.21,516080.33999999997,258.04017,516654.87352500047,,
2022-08-22,BUY,MID150BEES.NS,4404,117.22,516236.88,258.11844,159.8750850004726,,
2022-08-29,SELL,JUNIORBEES.NS,1154,452.93,522681.22000000003,261.34061,522579.7544750005,447.21,1.279
2022-08-29,SELL,MID150BEES.NS,4404,118.76,523019.04000000004,261.50952,1045337.2849550005,117.22,1.314
2022-08-29,BUY,PSUBNKBEES.NS,16064,32.52,522401.28,261.20064,522674.8043150005,,
2022-08-29,BUY,MOM100.NS,15975,32.7,522382.50000000006,261.19125,31.11306500044884,,
2022-09-05,SELL,MOM100.NS,15975,33.45,534363.75,267.181875,534127.6811900004,32.7,2.294
2022-09-05,BUY,JUNIORBEES.NS,1157,461.05,533434.85,266.717425,426.1137650003657,,
2022-09-12,SELL,JUNIORBEES.NS,1157,472.03,546138.71,273.069355,546291.7544100003,461.05,2.382
2022-09-12,BUY,MID150BEES.NS,4381,124.63,546004.03,273.00201500000003,14.722395000280812,,
2022-09-19,SELL,MID150BEES.NS,4381,122.0,534482.0,267.241,534229.4813950002,124.63,-2.11
2022-09-19,BUY,CPSEETF.NS,14273,37.41,533952.9299999999,266.97646499999996,9.574930000351742,,
2022-09-26,SELL,CPSEETF.NS,14273,34.55,493132.14999999997,246.56607499999998,492895.15885500034,37.41,-7.645
2022-09-26,BUY,CONSUMBEES.NS,5751,85.65,492573.15,246.28657500000003,75.72228000033647,,
