date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2021-05-17,SELL,MON100.NS,4193,96.59,405001.87,202.500935,404823.2440949998,103.73,-6.883
2021-05-17,BUY,CPSEETF.NS,16120,25.1,404612.0,202.306,8.938094999815803,,
2021-05-24,SELL,GOLDBEES.NS,10724,42.2,452552.80000000005,226.27640000000002,452335.4616949999,40.69,3.711
2021-05-24,BUY,PSUBNKBEES.NS,17315,26.11,452094.64999999997,226.047325,14.76436999993166,,
2021-06-28,SELL,CPSEETF.NS,16120,26.42,425890.4,212.94520000000003,425692.21916999994,25.1,5.259
2021-06-28,BUY,ITBEES.NS,14408,29.53,425468.24,212.73412,11.245049999968614,,
2021-07-12,SELL,PSUBNKBEES.NS,17315,27.05,468370.75,234.185375,468147.80967499997,26.11,3.6
2021-07-12,BUY,MON100.NS,4282,109.26,467851.32,233.92566000000002,62.56401499995263,,
2021-08-16,SELL,MON100.NS,4282,111.44,477186.08,238.59304,477010.05097499996,109.26,1.995
2021-08-16,BUY,NV20BEES.NS,5105,93.39,476755.95,238.37797500000002,15.72299999993993,,
2021-08-23,SELL,NV20BEES.NS,5105,93.52,477419.6,238.7098,477196.6131999999,93.39,0.139
2021-08-23,BUY,DIVOPPBEES.NS,11143,42.8,476920.39999999997,238.4602,37.75299999996787,,
2021-08-30,SELL,DIVOPPBEES.NS,11143,43.75,487506.25,243.753125,487300.249875,42.8,2.22
2021-08-30,BUY,NV20BEES.NS,5118,95.16,487028.88,243.51444,27.85543499997584,,
2021-09-06,SELL,NV20BEES.NS,5118,97.59,499465.62,249.73281,499243.74262499996,95.16,2.554
2021-09-06,BUY,DIVOPPBEES.NS,11178,44.64,498985.92,249.49296,8.329664999968372,,
2021-09-13,SELL,DIVOPPBEES.NS,11178,44.91,502003.98,251.00199,501761.30767499993,44.64,0.605
2021-09-13,BUY,CONSUMBEES.NS,6513,77.0,501501.0,250.75050000000002,9.557174999907147,,
2021-10-04,SELL,ITBEES.NS,14408,35.78,515518.24,257.75912,515270.0380549999,29.53,21.165
2021-10-04,SELL,CONSUMBEES.NS,6513,78.38,510488.93999999994,255.24446999999998,1025503.7335849998,77.0,1.792
2021-10-04,BUY,CPSEETF.NS,16526,31.01,512471.26,256.23563,512776.2379549998,,
2021-10-04,BUY,INFRABEES.NS,972,526.99,512234.28,256.11714,285.8408149997704,,
2021-10-11,SELL,INFRABEES.NS,972,534.27,519310.44,259.65522,519336.62559499976,526.99,1.381
2021-10-11,BUY,MOM100.NS,15658,33.15,519062.69999999995,259.53135,14.394244999799412,,
2021-10-25,SELL,MOM100.NS,15658,32.15,503404.69999999995,251.70235,503167.3918949998,33.15,-3.017
2021-10-25,BUY,PSUBNKBEES.NS,16144,31.15,502885.6,251.4428,30.34909499977948,,
2021-11-08,SELL,CPSEETF.NS,16526,30.55,504869.3,252.43465,504647.21444499976,31.01,-1.483
2021-11-08,BUY,INFRABEES.NS,924,545.76,504282.24,252.14112,112.83332499978133,,
2021-11-15,SELL,INFRABEES.NS,924,553.58,511507.92000000004,255.75396000000003,511364.9993649998,545.76,1.433
2021-11-15,BUY,MON100.NS,4299,118.88,511065.12,255.53256,44.34680499980459,,
2021-11-29,SELL,PSUBNKBEES.NS,16144,28.14,454292.16000000003,227.14608,454109.36072499986,31.15,-9.663
2021-11-29,BUY,GOLDBEES.NS,10905,41.62,453866.1,226.93304999999998,16.327674999891315,,
2021-12-06,SELL,GOLDBEES.NS,10905,41.3,450376.49999999994,225.18824999999998,450167.6394249998,41.62,-0.769
2021-12-06,BUY,ITBEES.NS,12592,35.73,449912.16,224.95608,30.523344999877736,,
2021-12-13,SELL,ITBEES.NS,12592,36.83,463763.36,231.88168,463562.0016649999,35.73,3.079
2021-12-13,BUY,PSUBNKBEES.NS,15377,30.13,463309.01,231.654505,21.337159999879077,,
2021-12-20,SELL,PSUBNKBEES.NS,15377,26.93,414102.61,207.05130499999999,413916.8958549999,30.13,-10.621
2021-12-20,BUY,ITBEES.NS,11257,36.75,413694.75,206.847375,15.298479999881238,,
2022-01-03,SELL,MON100.NS,4299,120.27,517040.73,258.52036499999997,516797.50811499986,118.88,1.169
2022-01-03,BUY,NV20BEES.NS,5075,101.78,516533.5,258.26675,5.741364999848884,,
2022-01-10,SELL,NV20BEES.NS,5075,102.35,519426.25,259.713125,519172.27823999984,101.78,0.56
2022-01-10,BUY,CPSEETF.NS,16568,31.32,518909.76,259.45488,3.0633599998545833,,
2022-01-17,SELL,CPSEETF.NS,16568,32.22,533820.96,266.91048,533557.1128799999,31.32,2.874
2022-01-17,BUY,NV20BEES.NS,5070,105.18,533262.6,266.6313,27.881579999928363,,
2022-01-24,SELL,ITBEES.NS,11257,35.73,402212.61,201.106305,402039.3852749999,36.75,-2.776
2022-01-24,BUY,CPSEETF.NS,12797,31.4,401825.8,200.9129,12.672374999907333,,
2022-01-31,SELL,NV20BEES.NS,5070,98.34,498583.8,249.2919,498347.1804749999,105.18,-6.503
2022-01-31,BUY,PSUBNKBEES.NS,15311,32.53,498066.83,249.03341500000002,31.3170599998557,,
