date,equity,cash
2023-12-20,1570127.636806829,62.945370061381254
2023-12-21,1589717.7997401785,62.945370061381254
2023-12-22,1600530.2744372915,62.945370061381254
2023-12-26,1611005.5478343882,50.52907370706089
2023-12-27,1612666.2616557993,50.52907370706089
2023-12-28,1627786.0137844004,50.52907370706089
2023-12-29,1622925.856771461,50.52907370706089
2024-01-01,1630075.865735351,572.9170659174561
2024-01-02,1628596.3524907222,572.9170659174561
2024-01-03,1630742.2045415035,572.9170659174561
2024-01-04,1653666.4093754878,572.9170659174561
2024-01-05,1657630.5975468745,572.9170659174561
2024-01-08,1649014.5500920406,572.9170659174561
2024-01-09,1657298.9775212398,572.9170659174561
2024-01-10,1656045.6761296382,572.9170659174561
2024-01-11,1662182.4456914058,572.9170659174561
2024-01-12,1669306.2406132808,572.9170659174561
2024-01-15,1691116.9085820308,572.9170659174561
2024-01-16,1684843.3842290035,572.9170659174561
2024-01-17,1672930.389905273,572.9170659174561
2024-01-18,1664446.3171818843,572.9170659174561
2024-01-19,1694456.7161992183,572.9170659174561
2024-01-23,1659738.044481277,6.585741042566951
2024-01-24,1692765.7437458034,6.585741042566951
2024-01-25,1693418.695817947,6.585741042566951
2024-01-29,1741136.3131088328,24.92104950657813
2024-01-30,1734664.2038559031,24.92104950657813
2024-01-31,1737002.5118393016,24.92104950657813
2024-02-01,1731517.1116928172,24.92104950657813
2024-02-02,1785414.2970718455,24.92104950657813
2024-02-05,1805756.0363906168,25.400282218353823
2024-02-06,1810842.143431022,25.400282218353823
2024-02-07,1823380.1384566568,25.400282218353823
2024-02-08,1845713.9232619547,25.400282218353823
2024-02-09,1830648.399946525,25.400282218353823
2024-02-12,1764948.6824271234,63.658653930120636
2024-02-13,1780533.9079520258,63.658653930120636
2024-02-14,1811733.8487402948,63.658653930120636
2024-02-15,1867935.9762427362,63.658653930120636
2024-02-16,1872530.875992492,63.658653930120636
2024-02-19,1869026.8819586786,63.658653930120636
2024-02-20,1868615.279106811,63.658653930120636
2024-02-21,1844633.1215750726,63.658653930120636
2024-02-22,1869069.3516776117,63.658653930120636
2024-02-23,1875011.0847937616,63.658653930120636
2024-02-26,1872331.513153747,63.658653930120636
2024-02-27,1871372.7560812982,63.658653930120636
2024-02-28,1846220.0978400263,63.658653930120636
2024-02-29,1852957.0542990717,63.658653930120636
2024-03-01,1878043.7042624506,63.658653930120636
2024-03-04,1912451.746544555,63.658653930120636
2024-03-05,1933085.2536856683,63.658653930120636
2024-03-06,1927174.4736334833,63.658653930120636
2024-03-07,1930939.959122375,63.658653930120636
2024-03-11,1915056.4031836542,63.658653930120636
2024-03-12,1883387.6918799432,63.658653930120636
2024-03-13,1796935.724846557,63.658653930120636
2024-03-14,1819437.3484427484,63.658653930120636
2024-03-15,1796637.3634573969,63.658653930120636
2024-03-18,1801374.3673405377,144.87350508838426
2024-03-19,1786153.9031758038,144.87350508838426
2024-03-20,1794959.4806828229,144.87350508838426
2024-03-21,1812714.4599270548,144.87350508838426
2024-03-22,1791685.9386868207,144.87350508838426
2024-03-26,1798229.7411642144,190.1601133417571
2024-03-27,1803257.5323286126,190.1601133417571
2024-03-28,1824125.3248624871,190.1601133417571
2024-04-01,1847303.600054748,190.1601133417571
2024-04-02,1855832.5810957025,190.1601133417571
2024-04-03,1865728.46526242,190.1601133417571
2024-04-04,1888134.2994794918,190.1601133417571
2024-04-05,1907478.3824110103,190.1601133417571
2024-04-08,1944013.0433260114,66.92618428752758
2024-04-09,1967261.8658777382,66.92618428752758
2024-04-10,1964323.8497568278,66.92618428752758
2024-04-12,1993332.2323862223,66.92618428752758
2024-04-15,1967221.7924677043,66.92618428752758
2024-04-16,1961139.9298006205,66.92618428752758
2024-04-18,1968133.4513307721,66.92618428752758
2024-04-19,1975392.6135202555,66.92618428752758
2024-04-22,1951878.181986442,66.92618428752758
2024-04-23,1898454.719549766,66.92618428752758
2024-04-24,1912044.171892753,66.92618428752758
2024-04-25,1927612.6057802346,66.92618428752758
2024-04-26,1940169.000723472,66.92618428752758
2024-04-29,1929790.4433084638,66.92618428752758
2024-04-30,1929498.1672235637,66.92618428752758
2024-05-02,1933049.3114000466,66.92618428752758
2024-05-03,1920570.3633981855,66.92618428752758
2024-05-06,1939984.4568959344,496.76573382504284
2024-05-07,1919895.897058593,496.76573382504284
2024-05-08,1946827.3965855706,496.76573382504284
2024-05-09,1934640.5340367425,496.76573382504284
2024-05-10,1998385.6359349359,496.76573382504284
2024-05-13,2025071.3614453082,35.334040523157455
2024-05-14,1999423.4260205035,35.334040523157455
2024-05-15,1992155.7525280719,35.334040523157455
2024-05-16,2022438.8350781207,35.334040523157455
2024-05-17,2032421.7333935504,35.334040523157455
2024-05-21,2077154.0581172598,160.96961628308054
2024-05-22,2096515.7264827383,160.96961628308054
2024-05-23,2069989.237133373,160.96961628308054
2024-05-24,2059600.6741145742,160.96961628308054
2024-05-27,2089352.6711822888,68.1173111340031
2024-05-28,2098061.7081924817,68.1173111340031
2024-05-29,2095530.0173050305,68.1173111340031
2024-05-30,2055257.922792091,68.1173111340031
2024-05-31,2062223.4819733044,68.1173111340031
2024-06-03,2098043.009233131,68.1173111340031
2024-06-04,1999682.6723190686,68.1173111340031
2024-06-05,1977989.5785080334,68.1173111340031
2024-06-06,2022034.8828903576,68.1173111340031
2024-06-07,2044989.9863602063,68.1173111340031
2024-06-10,2032427.8254788816,249.66373571765143
2024-06-11,2026304.686929077,249.66373571765143
2024-06-12,2028622.1661771238,249.66373571765143
2024-06-13,2035760.011208862,249.66373571765143
2024-06-14,2037807.629769653,249.66373571765143
2024-06-18,2031718.9930399475,98.05285440047737
2024-06-19,2010905.3322123108,98.05285440047737
2024-06-20,2014426.427244049,98.05285440047737
2024-06-21,2004016.739881378,98.05285440047737
2024-06-24,2013435.0614670939,120.99986736266874
2024-06-25,2005842.5669907758,120.99986736266874
2024-06-26,2009721.9125336837,120.99986736266874
2024-06-27,2012959.8327225873,120.99986736266874
2024-06-28,2021966.8085526656,120.99986736266874
2024-07-01,2031921.6670710123,0.30576959007885307
2024-07-02,2038528.9814631022,0.30576959007885307
2024-07-03,2048292.6438814676,0.30576959007885307
2024-07-04,2066155.8153254068,0.30576959007885307
2024-07-05,2075184.986933378,0.30576959007885307
2024-07-08,2078385.8372454126,93.94980568485335
2024-07-09,2080850.3774942835,93.94980568485335
2024-07-10,2071279.814231344,93.94980568485335
2024-07-11,2082029.3574938257,93.94980568485335
2024-07-12,2114412.485816427,93.94980568485335
2024-07-15,2126877.386003759,27.897936132270843
2024-07-16,2130664.383890417,27.897936132270843
2024-07-18,2139857.891435888,27.897936132270843
2024-07-19,2114758.101557043,27.897936132270843
2024-07-22,2116408.078378347,28.31507268315181
2024-07-23,2125430.576703695,28.31507268315181
2024-07-24,2124683.9752518213,28.31507268315181
2024-07-25,2124962.389417318,28.31507268315181
2024-07-26,2163841.0140625513,28.31507268315181
2024-07-29,2168874.5367681026,20.89536490419414
2024-07-30,2164330.767294073,20.89536490419414
2024-07-31,2175400.3277684688,20.89536490419414
2024-08-01,2173737.4752065176,20.89536490419414
2024-08-02,2149133.757642889,20.89536490419414
2024-08-05,2103498.301542959,35.804659566725604
2024-08-06,2087384.0944544887,35.804659566725604
2024-08-07,2142435.3814532375,35.804659566725604
2024-08-08,2121659.1088969326,35.804659566725604
2024-08-09,2145840.6559626674,35.804659566725604
2024-08-12,2143325.3499667263,35.804659566725604
2024-08-13,2133687.271151266,35.804659566725604
2024-08-14,2131852.601832113,35.804659566725604
2024-08-16,2168842.3405787563,35.804659566725604
2024-08-19,2184773.510583761,9.247346761403605
2024-08-20,2194639.2519205837,9.247346761403605
2024-08-21,2207075.8951700954,9.247346761403605
2024-08-22,2210672.8317545676,9.247346761403605
2024-08-23,2204466.3574389247,9.247346761403605
2024-08-26,2215952.331354025,9.247346761403605
2024-08-27,783959.875856283,9.247346761403605
2024-08-28,2244284.7512186794,9.247346761403605
2024-08-29,2242470.116472128,9.247346761403605
2024-08-30,2263162.0974139003,9.247346761403605
2024-09-02,2258774.2266532285,208.065505156992
2024-09-03,2257373.0375129087,208.065505156992
2024-09-04,2249516.0116759636,208.065505156992
2024-09-05,2253479.1541625364,208.065505156992
2024-09-06,2229233.3866912224,208.065505156992
2024-09-09,2217871.2189244074,167.15853393508587
2024-09-10,2243161.811930542,167.15853393508587
2024-09-11,2235072.0989140314,167.15853393508587
2024-09-12,2263238.4620693964,167.15853393508587
2024-09-13,2272173.377898101,167.15853393508587
2024-09-16,2273730.2275024103,255.37329251051415
2024-09-17,2275105.972756927,255.37329251051415
2024-09-18,2246649.18226773,255.37329251051415
2024-09-19,2242353.1406913446,255.37329251051415
2024-09-20,2262400.5059524225,255.37329251051415
2024-09-23,2268624.958395164,432.29543511138763
2024-09-24,2274742.3412000346,432.29543511138763
2024-09-25,2300677.18563668,432.29543511138763
2024-09-26,2313627.828596275,432.29543511138763
2024-09-27,2298646.690954368,432.29543511138763
2024-09-30,2283852.153576307,166.3250545783667
2024-10-01,2310087.033062391,166.3250545783667
2024-10-03,2312289.891582899,166.3250545783667
2024-10-04,2317283.2024959847,166.3250545783667
2024-10-07,2348472.8832318075,15.042590785655193
2024-10-08,2259951.633613277,15.042590785655193
2024-10-09,2226704.4339596517,15.042590785655193
2024-10-10,2230061.1212231405,15.042590785655193
2024-10-11,2273264.2222706564,15.042590785655193
2024-10-14,2237907.346314058,163.17999325727578
2024-10-15,2167816.2672430133,163.17999325727578
2024-10-16,2161120.7599798297,163.17999325727578
2024-10-17,2157742.7350469683,163.17999325727578
2024-10-18,2190003.28643857,163.17999325727578
2024-10-21,2222666.0742456336,17.41969698877074
2024-10-22,2220719.7943689246,17.41969698877074
2024-10-23,2252534.564930143,17.41969698877074
2024-10-24,2229084.831531706,17.41969698877074
2024-10-25,2204675.4000284094,17.41969698877074
2024-10-28,2216598.7445871253,17.41969698877074
2024-10-29,2240169.1954385657,17.41969698877074
2024-10-30,2251721.6919671916,17.41969698877074
2024-10-31,2239909.507541837,17.41969698877074
2024-11-01,2239909.507541837,17.41969698877074
2024-11-04,2255822.709235258,21.02308566076681
2024-11-05,2249797.1415243815,21.02308566076681
2024-11-06,2268757.081008024,21.02308566076681
2024-11-07,2243947.4299307535,21.02308566076681
2024-11-08,2275365.410079069,21.02308566076681
2024-11-11,2317810.2979657915,230.83507516654208
2024-11-12,2296949.9927900103,230.83507516654208
2024-11-13,2266943.1236493853,230.83507516654208
2024-11-14,2266155.414176729,230.83507516654208
2024-11-18,2240869.9427852496,148.79752157768235
2024-11-19,2228163.052770601,148.79752157768235
2024-11-21,2245529.4026241167,148.79752157768235
2024-11-22,2254675.074132906,148.79752157768235
2024-11-25,2256011.167516695,148.79752157768235
2024-11-26,2242660.0871944292,148.79752157768235
2024-11-27,2263498.589391695,148.79752157768235
2024-11-28,2267158.5146846636,148.79752157768235
2024-11-29,2277027.515295015,148.79752157768235
2024-12-02,2303791.515295015,148.79752157768235
2024-12-03,2340092.5431270464,148.79752157768235
2024-12-04,2375856.254674898,148.79752157768235
2024-12-05,2418847.519445406,148.79752157768235
2024-12-06,2432128.4877071246,148.79752157768235
2024-12-09,2446842.5166196004,33.918352998560295
2024-12-10,2459002.334002413,33.918352998560295
2024-12-11,2446616.008196749,33.918352998560295
2024-12-12,2438139.824358858,33.918352998560295
2024-12-13,2463266.5178403035,33.918352998560295
2024-12-16,2462674.496949068,28.533448091358878
2024-12-17,2495265.682129732,28.533448091358878
2024-12-18,2516624.7784432084,28.533448091358878
2024-12-19,2487040.7963875444,28.533448091358878
2024-12-20,2425880.3932503373,28.533448091358878
2024-12-23,2458856.4464119584,28.533448091358878
2024-12-24,2482374.9199227006,28.533448091358878
2024-12-26,2503520.1115730912,28.533448091358878
2024-12-27,2530263.4379280717,28.533448091358878
2024-12-30,2513349.0788582475,28.533448091358878
2024-12-31,2505249.6588753373,28.533448091358878
2025-01-01,2485497.826294771,28.533448091358878
2025-01-02,2469499.552185884,28.533448091358878
2025-01-03,2531793.4651497514,28.533448091358878
2025-01-06,2454154.220154634,28.533448091358878
2025-01-07,2464774.5960701616,28.533448091358878
2025-01-08,2471130.736451021,28.533448091358878
2025-01-09,2449814.947754732,28.533448091358878
2025-01-10,2437382.807556978,28.533448091358878
2025-01-13,2379024.9262786577,21.59369809133932
2025-01-14,2397476.7717223833,21.59369809133932
2025-01-15,2392914.4191222857,21.59369809133932
2025-01-16,2426402.4312225054,21.59369809133932
2025-01-17,2468734.539743013,21.59369809133932
2025-01-20,2482587.8082366656,21.59369809133932
2025-01-21,2483518.0959258745,21.59369809133932
2025-01-22,2561396.150231905,21.59369809133932
2025-01-23,2536195.724877901,21.59369809133932
2025-01-24,2581862.006188936,21.59369809133932
2025-01-27,2504368.3472991656,21.59369809133932
2025-01-28,2415455.1180816363,21.59369809133932
2025-01-29,2475703.5033965777,21.59369809133932
2025-01-30,2475987.026010103,21.59369809133932
2025-01-31,2497674.370645113,21.59369809133932
2025-02-01,2501782.3942657183,21.59369809133932
2025-02-03,2487988.8248148668,371.0644388903165
2025-02-04,2517790.078843187,371.0644388903165
2025-02-05,2530979.452759813,371.0644388903165
2025-02-06,2540770.8180247056,371.0644388903165
2025-02-07,2559195.542664598,371.0644388903165
2025-02-10,2596906.8658451405,87.33955424674787
2025-02-11,2563657.6312412587,87.33955424674787
2025-02-12,2584358.9794315663,87.33955424674787
2025-02-13,2599375.205902513,87.33955424674787
2025-02-14,2686253.5396427475,87.33955424674787
2025-02-17,2665801.792541918,87.33955424674787
2025-02-18,2714222.5368198715,87.33955424674787
2025-02-19,2736399.3806156483,87.33955424674787
2025-02-20,2674641.378387865,87.33955424674787
2025-02-21,2680005.549484667,87.33955424674787
2025-02-24,2707781.802200731,87.33955424674787
2025-02-25,2693449.6058506332,87.33955424674787
2025-02-27,2722944.634888109,87.33955424674787
2025-02-28,2651319.5600132314,87.33955424674787
2025-03-03,2686289.4585074424,5.834777736454271
2025-03-04,2719150.189784908,5.834777736454271
2025-03-05,2726887.433334255,5.834777736454271
2025-03-06,2708225.2745741843,5.834777736454271
2025-03-07,2734830.5864523887,5.834777736454271
2025-03-10,2708131.3984560454,36.42663139896467
2025-03-11,2709695.575900503,36.42663139896467
2025-03-12,2720183.3078722437,36.42663139896467
2025-03-13,2685846.564258047,36.42663139896467
2025-03-17,2743680.7770266016,36.42663139896467
2025-03-18,2743680.7770266016,36.42663139896467
2025-03-19,2749042.188563772,36.42663139896467
2025-03-20,2725987.272990652,36.42663139896467
2025-03-21,2679363.2070955713,36.42663139896467
2025-03-24,2652282.204285902,86.86702851660084
2025-03-25,2601790.463448805,86.86702851660084
2025-03-26,2627408.846902174,86.86702851660084
2025-03-27,2641082.210297865,86.86702851660084
2025-03-28,2621925.0061810436,86.86702851660084
2025-04-01,2636143.9473185404,386.2223887309665
2025-04-02,2640842.336097227,386.2223887309665
2025-04-03,2622321.3387522562,386.2223887309665
2025-04-04,2539279.3474573954,386.2223887309665
2025-04-07,2455019.025142446,461.63245750952046
2025-04-08,2484708.872989431,461.63245750952046
2025-04-09,2473652.104518667,461.63245750952046
2025-04-11,2528265.4752156883,461.63245750952046
2025-04-15,2556582.1686926247,26.29730895755347
2025-04-16,2590392.670378721,26.29730895755347
2025-04-17,2619269.2864523293,26.29730895755347
2025-04-21,2670202.1106266608,5.731544934795238
2025-04-22,2702765.9252323736,5.731544934795238
2025-04-23,2665850.198288404,5.731544934795238
2025-04-24,2661726.0691761603,5.731544934795238
2025-04-25,2629628.405724012,5.731544934795238
2025-04-28,2650708.5230564703,5.731544934795238
2025-04-29,2662554.9574513067,5.731544934795238
2025-04-30,2628269.4977116217,5.731544934795238
2025-05-02,2617465.901413404,5.731544934795238
2025-05-05,2631150.460399305,634.4932514777174
2025-05-06,2570643.43299452,634.4932514777174
2025-05-07,2578254.0051991097,634.4932514777174
2025-05-08,2553802.7783085457,634.4932514777174
2025-05-09,2548004.884341871,634.4932514777174
2025-05-12,2637064.5407663435,229.82766972482204
2025-05-13,2644235.9031396955,229.82766972482204
2025-05-14,2684462.716326341,229.82766972482204
2025-05-15,2697460.095003709,229.82766972482204
2025-05-16,2722294.278902635,229.82766972482204
2025-05-19,2712239.4754510033,3.323774825432338
2025-05-20,2694978.5811028588,3.323774825432338
2025-05-21,2702253.2090172875,3.323774825432338
2025-05-22,2679141.2138047325,3.323774825432338
2025-05-23,2697574.183268081,3.323774825432338
2025-05-26,2707096.475566062,76.00334087316878
2025-05-27,2714667.20965496,76.00334087316878
2025-05-28,2720180.7984954445,76.00334087316878
2025-05-29,2734083.4152137367,76.00334087316878
2025-05-30,2724114.042433891,76.00334087316878
2025-06-02,2729365.4582868647,18.978260619565845
2025-06-03,2725312.287567718,18.978260619565845
2025-06-04,2735825.8910757136,18.978260619565845
2025-06-05,2732384.87461148,18.978260619565845
2025-06-06,2742899.738766296,18.978260619565845
2025-06-09,2770393.733195827,75.87845186947379
2025-06-10,2779323.892192409,75.87845186947379
2025-06-11,2767509.1592097734,75.87845186947379
2025-06-12,2741874.672961757,75.87845186947379
2025-06-13,2737923.604705379,75.87845186947379
2025-06-16,2754441.99148858,228.8096267026849
2025-06-17,2758588.6410018248,228.8096267026849
2025-06-18,2765483.0983916563,228.8096267026849
2025-06-19,2723243.357958917,228.8096267026849
2025-06-20,2734090.5799819273,228.8096267026849
2025-06-23,2728146.9210740905,14.704010186600499
2025-06-24,2723585.522880731,14.704010186600499
2025-06-25,2736064.3987657405,14.704010186600499
2025-06-26,2757482.7224962097,14.704010186600499
2025-06-27,2745476.512664972,14.704010186600499
